id,collection,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en],pdf_filename,issueurl,pdfname,title,author_problem,date-text,author_citation
+,2451/61976,"Kennedy, Deanne",,2000-09,,"Deanne Kennedy, ""Stripper, Or What's In A Name,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/jqx4-aqgm",https://doi.org/10.33682/jqx4-aqgm,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Stripper, Or What's In A Name",Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Stripper_or_Whats_In_A_Name.pdf,http://www.nyu.edu/calabash/vol1no1//,Stripper or Whats In A Name.pdf,"Stripper, Or What's In A Name",,September 2000,Deanne Kennedy
+,2451/61976,"Lakhan, Anu",,2000-09,,"Anu Lakhan, ""Untitled I,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/hm6e-yz2e",https://doi.org/10.33682/hm6e-yz2e,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Untitled I,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Untitled_I.pdf,http://www.nyu.edu/calabash/vol1no1//,Untitled I.pdf,Untitled I,,September 2000,Anu Lakhan
+,2451/61976,"Lakhan, Anu",,2000-09,,"Anu Lakhan, ""Untitled IV,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/cymr-ewq3",https://doi.org/10.33682/cymr-ewq3,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Untitled IV,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Untitled_IV.pdf,http://www.nyu.edu/calabash/vol1no1//,Untitled IV.pdf,Untitled IV,,September 2000,Anu Lakhan
+,2451/61976,"Maxwell, Dwight",,2000-09,,"Dwight Maxwell, ""The Woman Who Was Not My Grandmother,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/t0f8-jwuv",https://doi.org/10.33682/t0f8-jwuv,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Woman Who Was Not My Grandmother,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,The_Woman_Who_Was_Not_My_Grandmother.pdf,http://www.nyu.edu/calabash/vol1no1//,The Woman Who Was Not My Grandmother.pdf,The Woman Who Was Not My Grandmother,,September 2000,Dwight Maxwell
+,2451/61976,"Maxwell, Dwight",,2000-09,,"Dwight Maxwell, ""What Patrimony Can Do To A Body,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/5taj-g3xy",https://doi.org/10.33682/5taj-g3xy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,What Patrimony Can Do To A Body,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,What_Patrimony_Can_Do_To_A_Body.pdf,http://www.nyu.edu/calabash/vol1no1//,What Patrimony Can Do To A Body.pdf,What Patrimony Can Do To A Body,,September 2000,Dwight Maxwell
+,2451/61976,"McCallum, Shara",,2000-09,,"Shara McCallum, ""Six Ways Of Envisioning Loss,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/mh02-spsr",https://doi.org/10.33682/mh02-spsr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Six Ways Of Envisioning Loss,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Six_Ways_Of_Envisioning_Loss.pdf,http://www.nyu.edu/calabash/vol1no1//,Six Ways Of Envisioning Loss.pdf,Six Ways Of Envisioning Loss,,September 2000,Shara McCallum
+,2451/61976,"McCallum, Shara",,2000-09,,"Shara McCallum, ""What I Want,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/35sv-ugam",https://doi.org/10.33682/35sv-ugam,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,What I Want,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,What_I_Want.pdf,http://www.nyu.edu/calabash/vol1no1//,What I Want.pdf,What I Want,,September 2000,Shara McCallum
+,2451/61976,"McCallum, Shara",,2000-09,,"Shara McCallum, ""The Spider Speaks,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/dk75-bff9",https://doi.org/10.33682/dk75-bff9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Spider Speaks,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,The_Spider_Speaks.pdf,http://www.nyu.edu/calabash/vol1no1//,The Spider Speaks.pdf,The Spider Speaks,,September 2000,Shara McCallum
+,2451/61976,"Morris, Sandra E.",,2000-09,,"Sandra E. Morris, ""Kamau's Spider,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/8k5v-a85f",https://doi.org/10.33682/8k5v-a85f,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Kamau's Spider,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Kamau's_Spider.pdf,http://www.nyu.edu/calabash/vol1no1//,Kamau's Spider.pdf,Kamau's Spider,,September 2000,Sandra E. Morris
+,2451/61976,"Vrede, Dorus",,2001,,"Dorus Vrede, ""For Sisi,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/3ebw-jjhk",https://doi.org/10.33682/3ebw-jjhk,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,For Sisi,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Voor_Sisi_For_Sisi.pdf,http://www.nyu.edu/calabash/vol1no2/,Voor Sisi For Sisi.pdf,For Sisi,,Spring-Summer 2001,Dorus Vrede
+,2451/61976,"Vrede, Dorus",,2001,,"Dorus Vrede, ""Do You Remember,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/sfqx-hq0d",https://doi.org/10.33682/sfqx-hq0d,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Do You Remember,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Do_You_Remember.pdf,http://www.nyu.edu/calabash/vol1no2/,Do You Remember.pdf,Do You Remember,,Spring-Summer 2001,Dorus Vrede
+,2451/61976,"Vrede, Dorus",,2001,,"Dorus Vrede, ""I Did Not Follow,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/qdus-10n4",https://doi.org/10.33682/qdus-10n4,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,I Did Not Follow,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,I_Did_Not_Follow.pdf,http://www.nyu.edu/calabash/vol1no2/,I Did Not Follow.pdf,I Did Not Follow,,Spring-Summer 2001,Dorus Vrede
+,2451/61976,"Vrede, Dorus",,2001,,"Dorus Vrede, ""In The Depth Of The Night,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/zz6u-8q15",https://doi.org/10.33682/zz6u-8q15,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,In The Depth Of The Night,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,In_The_Depth_Of_The_Night.pdf,http://www.nyu.edu/calabash/vol1no2/,In The Depth Of The Night.pdf,In The Depth Of The Night,,Spring-Summer 2001,Dorus Vrede
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Calabash Moon,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/cdrc-gn6r",https://doi.org/10.33682/cdrc-gn6r,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Calabash Moon,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302036.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302036.pdf,Calabash Moon,,Fall-Winter 2005,Dana Gilkes
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Codename: Breadfruit,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/u7xp-08s9",https://doi.org/10.33682/u7xp-08s9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Codename: Breadfruit,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302038.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302038.pdf,Codename: Breadfruit,,Fall-Winter 2005,Dana Gilkes
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Dispatch, A Scene from Paradise Lost,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/cnj9-rnzn",https://doi.org/10.33682/cnj9-rnzn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"Dispatch, A Scene from Paradise Lost",Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302040.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302040.pdf,"Dispatch, A Scene from Paradise Lost",,Fall-Winter 2005,Dana Gilkes
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Kettles and Whisling Holes,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/9w8z-x2yq",https://doi.org/10.33682/9w8z-x2yq,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Kettles and Whisling Holes,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302042.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302042.pdf,Kettles and Whisling Holes,,Fall-Winter 2005,Dana Gilkes
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Like Unto A Mustard Seed,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/617x-q57g",https://doi.org/10.33682/617x-q57g,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Like Unto A Mustard Seed,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302045.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302045.pdf,Like Unto A Mustard Seed,,Fall-Winter 2005,Dana Gilkes
+,2451/61976,"Morris, Sandra E.",,2000-09,,"Sandra E. Morris, ""Sea Jazz,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/fzcx-t213",https://doi.org/10.33682/fzcx-t213,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sea Jazz,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Sea_Jazz.pdf,http://www.nyu.edu/calabash/vol1no1//,Sea Jazz.pdf,Sea Jazz,,September 2000,Sandra E. Morris
+,2451/61976,"Owtram, Gerthie",,2000-09,,"Gerthie Owtram, ""An Attractive Middle-Aged Woman Dines Out,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/nbah-sevu",https://doi.org/10.33682/nbah-sevu,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,An Attractive Middle-Aged Woman Dines Out,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,An_Attractive_Middle-Aged_Woman.pdf,http://www.nyu.edu/calabash/vol1no1//,An Attractive Middle-Aged Woman.pdf,An Attractive Middle-Aged Woman Dines Out,,September 2000,Gerthie Owtram
+,2451/61976,"Owtram, Gerthie",,2000-09,,"Gerthie Owtram, ""Une Seduisante Femme D'age Mur Dine Dehors,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/rzfw-2g8m",https://doi.org/10.33682/rzfw-2g8m,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Une Seduisante Femme D'age Mur Dine Dehors,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,Une_Seduisante_Femme_Dage_Mur.pdf,http://www.nyu.edu/calabash/vol1no1//,Une Seduisante Femme Dage Mur.pdf,Une Seduisante Femme D'age Mur Dine Dehors,,September 2000,Gerthie Owtram
+,2451/61976,"Perez, Miriam Sa'uda",,2000-09,,"Miriam Sa'uda Perez, ""On A Journey To Discover Her Carribean Ingredient,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 1 (September 2000), https://doi.org/10.33682/51kx-ymct",https://doi.org/10.33682/51kx-ymct,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,On A Journey To Discover Her Carribean Ingredient,Article,1,Calabash: a Journal of Caribbean Arts and Letters,1,On_A_Journey_To_Discover_Her.pdf,http://www.nyu.edu/calabash/vol1no1//,On A Journey To Discover Her.pdf,On A Journey To Discover Her Carribean Ingredient,,September 2000,Miriam Sa'uda Perez
+,2451/61976,"Bell, Madison Smartt",,2004,,"Madison Smartt Bell, ""Point Samana,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/5wh3-43nh",https://doi.org/10.33682/5wh3-43nh,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Point Samana,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301001.pdf,http://www.nyu.edu/calabash/vol3no1/,0301001.pdf,Point Samana,,Fall-Spring 2004,Madison Smartt Bell
+,2451/61976,"Edwards, Gus",,2004,,"Gus Edwards, ""A Carnival Incident,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/t7cq-0wmn",https://doi.org/10.33682/t7cq-0wmn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,A Carnival Incident,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301014.pdf,http://www.nyu.edu/calabash/vol3no1/,0301014.pdf,A Carnival Incident,,Fall-Spring 2004,Gus Edwards
+,2451/61976,"Edwards, Gus",,2004,,"Gus Edwards, ""Mr. Rhumbay,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/9pmb-8g8x",https://doi.org/10.33682/9pmb-8g8x,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Mr. Rhumbay,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301024.pdf,http://www.nyu.edu/calabash/vol3no1/,0301024.pdf,Mr. Rhumbay,,Fall-Spring 2004,Gus Edwards
+,2451/61976,"Edwards, Gus",,2004,,"Gus Edwards, ""Hamilton Daniel,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/sbmb-kxxc",https://doi.org/10.33682/sbmb-kxxc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Hamilton Daniel,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301027.pdf,http://www.nyu.edu/calabash/vol3no1/,0301027.pdf,Hamilton Daniel,,Fall-Spring 2004,Gus Edwards
+,2451/61976,"Ramsumair, Rahda Krishna",,2004,,"Rahda Krishna Ramsumair, ""Surrounded by Fireflies,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 1 (Fall-Spring 2004), https://doi.org/10.33682/nc9t-g6rf",https://doi.org/10.33682/nc9t-g6rf,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Surrounded by Fireflies,Article,1,Calabash: a Journal of Caribbean Arts and Letters,3,0301031.pdf,http://www.nyu.edu/calabash/vol3no1/,0301031.pdf,Surrounded by Fireflies,,Fall-Spring 2004,Rahda Krishna Ramsumair
+,2451/61976,"Aching, Gerard",,2003,,"Gerard Aching, ""Preface: Our New Format,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/1qyr-b98m",https://doi.org/10.33682/1qyr-b98m,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Preface: Our New Format,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202001.pdf,http://www.nyu.edu/calabash/vol2no2/,0202001.pdf,Preface: Our New Format,,Summer-Fall 2003,Gerard Aching
+,2451/61976,"Senior, Olive",,2003,,"Olive Senior, ""The Pain Tree,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/m5yr-dhxq",https://doi.org/10.33682/m5yr-dhxq,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Pain Tree,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202014.pdf,http://www.nyu.edu/calabash/vol2no2/,0202014.pdf,The Pain Tree,,Summer-Fall 2003,Olive Senior
+,2451/61976,"Dalembert, Louis-Phillippe",,2003,,"Louis-Phillippe Dalembert, ""Le Jour Où J'ai Pleuré,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/b6yp-nm1m",https://doi.org/10.33682/b6yp-nm1m,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Le Jour Où J'ai Pleuré,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202025.pdf,http://www.nyu.edu/calabash/vol2no2/,0202025.pdf,Le Jour Où J'ai Pleuré,,Summer-Fall 2003,Louis-Phillippe Dalembert
+,2451/61976,"Sandiford, Robert Edison",,2003,,"Robert Edison Sandiford, ""Mistress,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/hqwx-73sy",https://doi.org/10.33682/hqwx-73sy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Mistress,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202044.pdf,http://www.nyu.edu/calabash/vol2no2/,0202044.pdf,Mistress,,Summer-Fall 2003,Robert Edison Sandiford
+,2451/61976,"Ellis, Garfield",,2003,,"Garfield Ellis, ""Till I'm Laid to Rest,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/qm9z-7xde",https://doi.org/10.33682/qm9z-7xde,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Till I'm Laid to Rest,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2,0202047.pdf,http://www.nyu.edu/calabash/vol2no2/,0202047.pdf,Till I'm Laid to Rest,,Summer-Fall 2003,Garfield Ellis
+,2451/61976,"Zobel, Joseph",,2001,,"Joseph Zobel, ""Sweet Lianas / Lanes Douches,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/5jps-dy9t",https://doi.org/10.33682/5jps-dy9t,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sweet Lianas / Lanes Douches,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Sweet_Lianas.pdf,http://www.nyu.edu/calabash/vol1no2/,Sweet Lianas.pdf,Sweet Lianas / Lanes Douches,,Spring-Summer 2001,Joseph Zobel
+,2451/61976,"Spalding, June",,2001,,"June Spalding, ""Koromantyn Girl,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/zh6e-svs2",https://doi.org/10.33682/zh6e-svs2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Koromantyn Girl,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Koromantyn_Girl.pdf,http://www.nyu.edu/calabash/vol1no2/,Koromantyn Girl.pdf,Koromantyn Girl,,Spring-Summer 2001,June Spalding
+,2451/61976,"Simmons-McDonald, Hazel",,2001,,"Hazel Simmons-McDonald, ""Silk Cotton Tree,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/rpdt-upzb",https://doi.org/10.33682/rpdt-upzb,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Silk Cotton Tree,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Silk_Cotton_Tree.pdf,http://www.nyu.edu/calabash/vol1no2/,Silk Cotton Tree.pdf,Silk Cotton Tree,,Spring-Summer 2001,Hazel Simmons-McDonald
+,2451/61976,"Simmons-McDonald, Hazel",,2001,,"Hazel Simmons-McDonald, ""Dream Season,"" Calabash: a Journal of Caribbean Arts and Letters 1, no. 2 (Spring-Summer 2001), https://doi.org/10.33682/nxf4-3c76",https://doi.org/10.33682/nxf4-3c76,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Dream Season,Article,2,Calabash: a Journal of Caribbean Arts and Letters,1,Dream_Season.pdf,http://www.nyu.edu/calabash/vol1no2/,Dream Season.pdf,Dream Season,,Spring-Summer 2001,Hazel Simmons-McDonald
+,2451/61976,"Gilkes, Dana",,2005,,"Dana Gilkes, ""Summer Essence,"" Calabash: a Journal of Caribbean Arts and Letters 3, no. 2 (Fall-Winter 2005), https://doi.org/10.33682/hw9y-jwm2",https://doi.org/10.33682/hw9y-jwm2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Summer Essence,Article,2,Calabash: a Journal of Caribbean Arts and Letters,3,0302046.pdf,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302046.pdf,Summer Essence,,Fall-Winter 2005,Dana Gilkes
