pdf_filename,author,author_index,author_problem,issue,volume,date-iso,date-text,issueurl,pdfname,title,title_noquotes,issn,journaltitle,publisher
Aged Woman.pdf,Gerthie Owtram,"Owtram, Gerthie",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,An Attractive Middle-Aged Woman.pdf,An Attractive Middle-Aged Woman Dines Out,An Attractive Middle-Aged Woman Dines Out,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Une Seduisante Femme Dage Mur.pdf,Gerthie Owtram,"Owtram, Gerthie",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Une Seduisante Femme Dage Mur.pdf,Une Seduisante Femme D'age Mur Dine Dehors,Une Seduisante Femme D'age Mur Dine Dehors,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
On A Journey To Discover Her.pdf,Miriam Sa'uda Perez,"Perez, Miriam Sa'uda",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,On A Journey To Discover Her.pdf,On A Journey To Discover Her Carribean Ingredient,On A Journey To Discover Her Carribean Ingredient,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301001.pdf,Madison Smartt Bell,"Bell, Madison Smartt",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301001.pdf,Point Samana,Point Samana,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301014.pdf,Gus Edwards,"Edwards, Gus",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301014.pdf,A Carnival Incident,A Carnival Incident,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301024.pdf,Gus Edwards,"Edwards, Gus",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301024.pdf,Mr. Rhumbay,Mr. Rhumbay,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301027.pdf,Gus Edwards,"Edwards, Gus",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301027.pdf,Hamilton Daniel,Hamilton Daniel,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301031.pdf,Rahda Krishna Ramsumair,"Ramsumair, Rahda Krishna",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301031.pdf,Surrounded by Fireflies,Surrounded by Fireflies,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202001.pdf,Gerard Aching,"Aching, Gerard",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202001.pdf,Preface: Our New Format,Preface: Our New Format,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202014.pdf,Olive Senior,"Senior, Olive",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202014.pdf,The Pain Tree,The Pain Tree,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202025.pdf,Louis-Phillippe Dalembert,"Dalembert, Louis-Phillippe",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202025.pdf,Le Jour Où J'ai Pleuré,Le Jour Où J'ai Pleuré,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202044.pdf,Robert Edison Sandiford,"Sandiford, Robert Edison",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202044.pdf,Mistress,Mistress,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202047.pdf,Garfield Ellis,"Ellis, Garfield",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202047.pdf,Till I'm Laid to Rest,Till I'm Laid to Rest,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Sweet Lianas.pdf,Joseph Zobel,"Zobel, Joseph",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Sweet Lianas.pdf,Sweet Lianas / Lanes Douches,Sweet Lianas / Lanes Douches,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Koromantyn Girl.pdf,June Spalding,"Spalding, June",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Koromantyn Girl.pdf,Koromantyn Girl,Koromantyn Girl,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Silk Cotton Tree.pdf,Hazel Simmons-McDonald,"Simmons-McDonald, Hazel",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Silk Cotton Tree.pdf,Silk Cotton Tree,Silk Cotton Tree,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Dream Season.pdf,Hazel Simmons-McDonald,"Simmons-McDonald, Hazel",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Dream Season.pdf,Dream Season,Dream Season,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302046.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302046.pdf,Summer Essence,Summer Essence,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302048.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302048.pdf,The Home Liberation Front,The Home Liberation Front,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302050.pdf,Dana Gilkes,"Gilkes, Dana",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302050.pdf,Woe and Redemption,Woe and Redemption,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302066.pdf,Trevor Peters,"Peters, Trevor",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302066.pdf,The Nation Mourns,The Nation Mourns,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
I Think I Saw Apollo Weeping.pdf,Felix de Rooy,"de Rooy, Felix",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,I Think I Saw Apollo Weeping.pdf,I Think I Saw Apollo Weeping,I Think I Saw Apollo Weeping,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
I Remember Two Seasons.pdf,June Spalding,"Spalding, June",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,I Remember Two Seasons.pdf,I Remember Two Seasons,I Remember Two Seasons,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Two Guavas.pdf,Lidia Torres,"Torres, Lidia",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Two Guavas.pdf,Two Guavas,Two Guavas,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Visiting The Dead.pdf,Lidia Torres,"Torres, Lidia",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Visiting The Dead.pdf,Visiting The Dead,Visiting The Dead,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
s Return.pdf,Evie Vernon,"Vernon, Evie",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Exile's Return.pdf,The Exile's Return,The Exile's Return,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301035.pdf,Rahda Krishna Ramsumair,"Ramsumair, Rahda Krishna",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301035.pdf,A Gift of Easter Lilies,A Gift of Easter Lilies,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301114.pdf,Michela A. Calderaro,"Calderaro, Michela A.",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301114.pdf,I am the Line Break of Desire: A Conversation with Shara McCallum,I am the Line Break of Desire: A Conversation with Shara McCallum,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301124.pdf,Trevor Peters,"Peters, Trevor",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301124.pdf,On the Descendants of Paule Marshall,On the Descendants of Paule Marshall,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301136.pdf,Dolace McLean,"McLean, Dolace",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301136.pdf,"Review of Madison Smartt Bell's ""The Stone That the Builder Refused""","Review of Madison Smartt Bell's ""The Stone That the Builder Refused""",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202078.pdf,Anton Nimblett,"Nimblett, Anton",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202078.pdf,Marjory's Meal,Marjory's Meal,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202128.pdf,Alba Delia Hernandez,"Hernandez, Alba Delia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202128.pdf,I Cannot See the Holy Ghost,I Cannot See the Holy Ghost,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0202131.pdf,Alba Delia Hernandez,"Hernandez, Alba Delia",,2,2,2003,Summer-Fall 2003,http://www.nyu.edu/calabash/vol2no2/,0202131.pdf,Muñeca,Muñeca,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Fillette.pdf,Danielle Legros Georges,"Georges, Danielle Legros",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Fillette.pdf,Fillette,Fillette,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Anacaona.pdf,Danielle Legros Georges,"Georges, Danielle Legros",,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Anacaona.pdf,Anacaona,Anacaona,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Parrot Music Box.pdf,Y. C. Murphy,"Murphy, Y. C.",ambiguous,1,2,2002,Fall 2002,http://www.nyu.edu/calabash/vol2no1/,Parrot Music Box.pdf,Parrot Music Box,Parrot Music Box,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
door Patient.pdf,Nydia Ecury,"Ecury, Nydia",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Next-door Patient.pdf,Next-Door Patient / Pashent aki banda,Next-Door Patient / Pashent aki banda,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
My Love A Ribbon In The Wind.pdf,Nydia Ecury,"Ecury, Nydia",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,My Love A Ribbon In The Wind.pdf,"My Love, A Ribbon In The Wind/ Mi Amor, Un Sinta","My Love, A Ribbon In The Wind/ Mi Amor, Un Sinta",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Title Deed.pdf,Lasana M. Sekou,"Sekou, Lasana M.",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Title Deed.pdf,Title Deed,Title Deed,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Visit and Fellowship.pdf,Lasana M. Sekou,"Sekou, Lasana M.",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Visit and Fellowship.pdf,Visit and Fellowship,Visit and Fellowship,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Direction II.pdf,Lasana M. Sekou,"Sekou, Lasana M.",,2,1,2001,Spring-Summer 2001,http://www.nyu.edu/calabash/vol1no2/,Direction II.pdf,Direction II,Direction II,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302069.pdf,Sandy Jimenez,"Jimenez, Sandy",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302069.pdf,Notes About the Moon my Favorite Stellar Body of the Moment in Half Translation,Notes About the Moon my Favorite Stellar Body of the Moment in Half Translation,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302070.pdf,Jina Ortiz,"Ortiz, Jina",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302070.pdf,Six Poems About the Little Island of Mine,Six Poems About the Little Island of Mine,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0302073.pdf,Jina Ortiz,"Ortiz, Jina",,2,3,2005,Fall-Winter 2005,http://www.nyu.edu/calabash/vol3no2/,vol3no2/0302073.pdf,Seis Poemas de mi Isla Pequeña,Seis Poemas de mi Isla Pequeña,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Exile.pdf,Evie Vernon,"Vernon, Evie",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Exile.pdf,The Exile,The Exile,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Transferring The Carribean.pdf,Michela A. Calderaro,"Calderaro, Michela A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Transferring The Carribean.pdf,Transferring The Carribean Babylon To The Stage: An Interview With Gus Edwards,Transferring The Carribean Babylon To The Stage: An Interview With Gus Edwards,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Unbridled Sea.pdf,Michela A. Calderaro,"Calderaro, Michela A.",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Unbridled Sea.pdf,"The Unbridled Sea: A Review Of Shara McCullum's, ""The Sea Beneath Us""","The Unbridled Sea: A Review Of Shara McCullum's, ""The Sea Beneath Us""",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
The Visual Arts Of Aruba.pdf,Marianne de Tolentino,"Tolentino, Marianne de",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,The Visual Arts Of Aruba.pdf,The Visual Arts Of Aruba And The Netherlands Antilles,The Visual Arts Of Aruba And The Netherlands Antilles,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
Mommie My Star Pupil.pdf,Opal Palmer Adisa,"Adisa, Opal Palmer",,1,1,2000-09,September 2000,http://www.nyu.edu/calabash/vol1no1//,Mommie My Star Pupil.pdf,"Mommie, My Star Pupil","Mommie, My Star Pupil",1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301079.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301079.pdf,Gaugin,Gaugin,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301081.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301081.pdf,The Woman in the Park,The Woman in the Park,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301082.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301082.pdf,A Conversation with my Grandmother,A Conversation with my Grandmother,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
0301084.pdf,Jacqueline Bishop,"Bishop, Jacqueline",,1,3,2004,Fall-Spring 2004,http://www.nyu.edu/calabash/vol3no1/,0301084.pdf,The Same Conversation with my Grandmother,The Same Conversation with my Grandmother,1531-6661,Calabash: a Journal of Caribbean Arts and Letters,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures
